Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P40017	923	103,334	alcohol metabolic process [GO:0006066]; carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]; transport [GO:0006810]	carnitine O-acetyltransferase activity [GO:0004092]	cytosol [GO:0005829]
Q3E756	94	11,161			plasma membrane [GO:0005886]
P0C5L2	88	10,625			integral component of membrane [GO:0016021]
Q7M4S9	792	86,976		helicase activity [GO:0004386]	
P0C5L4	52	6,235			
Q8TGQ5	29	3,679			
Q3E781	34	4,086			
P38299	523	60,643			
P38321	900	101,236			
P38177	466	51,997			
Q96VH2	84	9,572	nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]		
P37263	153	17,738		metal ion binding [GO:0046872]	nucleolus [GO:0005730]
P25565	263	30,197			integral component of membrane [GO:0016021]
P25571	164	19,050			
P25654	182	20,704			
P25657	155	17,960			
Q12185	396	45,939	phospholipid biosynthetic process [GO:0008654]	transferase activity, transferring acyl groups [GO:0016746]	integral component of membrane [GO:0016021]
Q12352	117	11,971			integral component of membrane [GO:0016021]
Q8TGP8	144	16,381			
Q03831	136	15,189			
Q07555	291	32,916			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03899	556	65,243	protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	protein binding, bridging [GO:0030674]	SCF ubiquitin ligase complex [GO:0019005]; vacuole [GO:0005773]
Q07589	356	39,783		2-dehydropantoate 2-reductase activity [GO:0008677]; NADP binding [GO:0050661]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12047	102	11,987			
Q12135	159	17,565			integral component of membrane [GO:0016021]
P48568	277	32,197			
Q03480	137	15,418			integral component of membrane [GO:0016021]
Q07746	117	13,255			
Q3E6R4	66	6,324			anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
P0C289	58	6,508			integral component of membrane [GO:0016021]
P87287	132	15,540			integral component of membrane [GO:0016021]
Q12187	109	12,905			integral component of membrane [GO:0016021]
A0A023PYE4	107	12,901			integral component of membrane [GO:0016021]
A0A023PZB8	112	12,599			integral component of membrane [GO:0016021]
P0CX71	440	48,953	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P0CX66	440	49,129	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
A0A023PZC3	113	13,357			
P39961	794	91,077	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
P39999	101	12,209			cytoplasm [GO:0005737]
P43608	114	12,457			integral component of membrane [GO:0016021]
Q45U48	73	8,362			
Q12316	1755	198,560	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P53213	109	11,720			
P53229	120	13,645			integral component of membrane [GO:0016021]
P0CX62	438	49,762	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q12337	1770	202,119	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q99315	1547	178,307	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P53288	203	22,179			integral component of membrane [GO:0016021]
Q3E750	60	6,994			integral component of membrane [GO:0016021]
P50083	69	8,246			integral component of membrane [GO:0016021]
P53321	146	16,121			
P53329	174	20,015			
P53183	348	38,259	cellular aromatic compound metabolic process [GO:0006725]; cellular ketone metabolic process [GO:0042180]; response to furfural [GO:1901426]	aldehyde dehydrogenase (NAD) activity [GO:0004029]; carbonyl reductase (NADPH) activity [GO:0004090]; coenzyme binding [GO:0050662]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	
P53161	119	13,388			integral component of membrane [GO:0016021]
P53098	57	7,035			
Q8TGT6	29	3,505			
A0A023PZD5	153	17,065			
P38898	153	17,081			
P0CL34	160	18,627			integral component of membrane [GO:0016021]
P38765	294	32,563	biosynthetic process [GO:0009058]; endoplasmic reticulum unfolded protein response [GO:0030968]	isomerase activity [GO:0016853]	
P38870	785	90,109	signal transduction [GO:0007165]		
Q3E7Z4	54	6,308			integral component of membrane [GO:0016021]
A0A023PZF3	158	17,541			integral component of membrane [GO:0016021]
A0A023PZJ9	123	13,917			
A0A023PXN9	150	16,970			integral component of membrane [GO:0016021]
A0A023PXG3	133	14,768			integral component of membrane [GO:0016021]
P40536	118	13,784			
P53845	314	35,498	ER to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]		endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle [GO:0030134]; integral component of Golgi membrane [GO:0030173]
P28626	145	16,851			integral component of membrane [GO:0016021]
P0CL25	75	8,646			
P40566	764	86,979	carbohydrate metabolic process [GO:0005975]; ergosteryl 3-beta-D-glucoside catabolic process [GO:1904462]	steryl-beta-glucosidase activity [GO:0050295]	cytosol [GO:0005829]
P40575	100	11,672			
P47174	117	13,171			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P39725	102	11,648			
P38749	330	37,955	regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]	sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08182	245	27,387	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	nucleus [GO:0005634]
P34220	418	47,390	apoptotic DNA fragmentation [GO:0006309]; cellular response to oxidative stress [GO:0034599]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P38188	114	13,830			
P38240	142	16,039			integral component of membrane [GO:0016021]
P25347	104	12,514			
P25616	317	36,278	cellular response to cold [GO:0070417]		
P25352	136	16,064			
P25361	127	14,779			
A0A023PZ99	116	12,837			integral component of membrane [GO:0016021]
Q12195	79	8,892			
Q07379	328	36,687	lipid metabolic process [GO:0006629]; regulation of signal transduction [GO:0009966]	acylglycerol lipase activity [GO:0047372]	membrane [GO:0016020]
Q03193	310	34,631		basic amino acid transmembrane transporter activity [GO:0015174]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q07541	149	16,947			endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
O74302	440	49,009	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P0CX65	440	49,129	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q3E774	43	5,091			
Q12307	118	13,734			
Q12027	708	81,465			
P48569	320	37,047	potassium ion transport [GO:0006813]; proton transport [GO:0015992]		integral component of mitochondrial inner membrane [GO:0031305]
A0A023PXI4	105	11,607			
Q12240	137	15,182			integral component of membrane [GO:0016021]
Q03483	438	49,835	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q99303	438	49,724	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P0C5L9	24	2,930			
P87281	107	11,506			integral component of membrane [GO:0016021]
Q3E6R5	114	12,714			integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]
Q04033	374	42,484		aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]	
P87270	130	14,457			integral component of membrane [GO:0016021]
P87271	102	10,691			
Q03418	163	18,825			integral component of membrane [GO:0016021]
P87274	156	16,916			integral component of membrane [GO:0016021]
P0CL37	159	18,437			integral component of membrane [GO:0016021]
P39559	98	11,143			integral component of membrane [GO:0016021]
P39564	161	18,011			
P0C5L1	78	9,173		oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	
O43137	85	9,405			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C5L3	47	5,603			
Q3E7Y4	105	11,974			
Q12266	440	49,285	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q12490	1755	198,969	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
A0A023PXH5	47	5,170			
P38320	171	19,323			integral component of membrane [GO:0016021]
Q3E778	34	3,925			
P38184	103	12,087			
P38180	368	40,767			
P38258	127	14,784			integral component of membrane [GO:0016021]
P87012	153	17,817	nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]		
P25614	215	22,780			
P25351	611	69,218	transmembrane transport [GO:0055085]	transporter activity [GO:0005215]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
Q2V2Q0	85	9,633			
Q12264	106	11,431			
Q07410	141	15,985			
Q12082	118	13,563			mitochondrion [GO:0005739]
Q12148	100	10,751			
Q12301	547	62,288			integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]
Q3E818	50	6,129			
Q12407	687	77,501	glucose import [GO:0046323]; hexose transmembrane transport [GO:0035428]; transmembrane transport [GO:0055085]; transport [GO:0006810]	glucose transmembrane transporter activity [GO:0005355]; substrate-specific transmembrane transporter activity [GO:0022891]; sugar:proton symporter activity [GO:0005351]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]
Q2V2P9	66	7,452			integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrial respiratory chain supercomplex [GO:0097249]
Q03494	1770	202,095	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P87282	123	13,616			
P0C5M2	81	10,117			integral component of membrane [GO:0016021]
Q04069	103	12,390			integral component of membrane [GO:0016021]
P87273	111	12,690			integral component of membrane [GO:0016021]
P0C5M3	85	10,572			integral component of membrane [GO:0016021]
Q02896	317	37,231	ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]	dihydroceramidase activity [GO:0071633]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
P0C5M5	37	4,317			
P32616	141	16,469		ATP binding [GO:0005524]	integral component of membrane [GO:0016021]
P39983	233	27,229			
P39977	110	12,911			
P39973	112	13,062			
P0CX63	1770	202,039	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P43564	1073	119,510			integral component of membrane [GO:0016021]
P43549	646	70,507	cellular water homeostasis [GO:0009992]; ion transmembrane transport [GO:0034220]; transmembrane transport [GO:0055085]; water transport [GO:0006833]	glycerol channel activity [GO:0015254]; glycerol transmembrane transporter activity [GO:0015168]; transporter activity [GO:0005215]; water channel activity [GO:0015250]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]
P43541	151	17,473			
P43538	392	43,829		ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	
P43622	192	20,459			
P0C5N1	53	6,603			
P53185	909	102,371			cytoplasm [GO:0005737]
Q12141	1755	198,658	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
Q3E744	92	10,027			
P53209	190	22,226			integral component of membrane [GO:0016021]
P53212	290	31,700			
P53217	278	33,255	cellular protein localization [GO:0034613]; endoplasmic reticulum tubular network organization [GO:0071786]; nuclear pore complex assembly [GO:0051292]	structural constituent of nuclear pore [GO:0017056]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; nuclear pore [GO:0005643]; plasma membrane [GO:0005886]
Q8TGT7	37	4,538			
Q8TGN7	72	8,278			integral component of membrane [GO:0016021]
P53162	154	16,084			
P53139	140	16,037			plasma membrane [GO:0005886]
P53126	111	12,228			
P46945	554	63,276			
P53103	107	12,220			
A0A023PXL1	197	22,435			integral component of membrane [GO:0016021]
A0A023PYG5	108	12,274			
P0CL33	64	7,517			integral component of membrane [GO:0016021]
A0A023PXF2	106	12,235			
O13537	118	13,740			integral component of membrane [GO:0016021]
A0A023PYH5	124	14,085			
A0A023PXF5	105	11,974			
P0C2J7	1802	207,970	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P38721	697	79,026		ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	integral component of membrane [GO:0016021]
P38708	688	77,386	prolyl-tRNA aminoacylation [GO:0006433]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]
P38763	256	28,996	protein secretion [GO:0009306]; small GTPase mediated signal transduction [GO:0007264]; vesicle docking involved in exocytosis [GO:0006904]	ATP binding [GO:0005524]; GTP binding [GO:0005525]	intracellular [GO:0005622]
P38808	164	19,025			
Q04116	353	39,598	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071930]; transcription, DNA-templated [GO:0006351]	RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcriptional repressor activity, RNA polymerase II transcription factor binding [GO:0001191]	nuclear chromatin [GO:0000790]
P38834	111	13,397			integral component of membrane [GO:0016021]
P40551	113	13,235			
P40524	105	12,045			integral component of membrane [GO:0016021]
P40519	144	15,673			integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P40503	102	11,584			
P40490	117	13,493			
Q3E737	44	5,049			
P0CX74	440	48,993	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q3E801	27	3,144			
P47100	1755	198,618	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P40355	935	108,427			
Q8TGN3	28	3,078			
P47152	169	19,049	cellular response to drug [GO:0035690]		
P47172	347	39,902			
P47003	119	13,653			integral component of membrane [GO:0016021]
P40896	331	35,905		deaminase activity [GO:0019239]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	
Q8TGM9	89	10,073			integral component of membrane [GO:0016021]
P36128	141	15,668			
P40544	346	37,418	cellular zinc ion homeostasis [GO:0006882]; zinc II ion transport [GO:0006829]	zinc ion transmembrane transporter activity [GO:0005385]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P36083	450	52,088			
P0CF33	103	11,554	cell cycle [GO:0007049]; cell division [GO:0051301]; Ras protein signal transduction [GO:0007265]	Ras guanyl-nucleotide exchange factor activity [GO:0005088]	intracellular [GO:0005622]
Q12155	161	19,089			endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q12528	110	12,655			integral component of membrane [GO:0016021]
Q12312	125	14,363			integral component of membrane [GO:0016021]
P0CY05	43	4,707			
P0C5P6	37	3,944			
O13562	129	14,689			integral component of membrane [GO:0016021]
Q05867	314	36,574			integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]
Q06479	807	93,123	protein ubiquitination [GO:0016567]		SCF ubiquitin ligase complex [GO:0019005]
A0A023PZ94	102	11,414			integral component of membrane [GO:0016021]
A0A023PYD0	140	15,823			integral component of membrane [GO:0016021]
A0A023PXA5	189	21,605			
P39728	267	30,457			
P39711	94	11,004			
P39548	234	26,458	vesicle organization [GO:0016050]		endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P39557	106	12,897			integral component of membrane [GO:0016021]
P40917	295	32,975	hyperosmotic response [GO:0006972]; hyperosmotic salinity response [GO:0042538]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to drug [GO:0042493]; transcription, DNA-templated [GO:0006351]	repressing transcription factor binding [GO:0070491]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40574	245	28,386	negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to iron [GO:0010723]; transcription, DNA-templated [GO:0006351]	RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
Q8TGU8	32	3,853			
P89495	111	12,882			
Q12217	440	49,067	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P38202	106	12,401			
P38253	122	14,321			cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]
P38267	160	18,098			integral component of membrane [GO:0016021]
P34215	104	12,318			
Q96VG8	41	4,826			
Q8TGQ0	78	8,982			integral component of membrane [GO:0016021]
P25384	1770	202,096	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P25575	107	12,049			
P25354	239	27,564	vesicle organization [GO:0016050]		endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P25631	222	24,694			
P25639	631	70,922			integral component of membrane [GO:0016021]
P25650	117	13,503			
P25608	368	40,121	response to copper ion [GO:0046688]	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	
Q12023	107	11,616			integral component of membrane [GO:0016021]
Q8TGP7	34	4,068			
Q03205	200	23,249			
Q12025	205	22,769			endoplasmic reticulum [GO:0005783]
P38966	869	98,712	membrane organization [GO:0061024]		membrane [GO:0016020]
A0A023PZA4	116	13,179			
Q03983	463	53,730	vacuole-ER tethering [GO:1990854]	phosphatidylinositol-3-phosphate binding [GO:0032266]	nucleus-vacuole junction [GO:0071561]
Q03788	91	10,499			integral component of membrane [GO:0016021]
Q05510	147	17,500			
P87266	191	21,327			integral component of membrane [GO:0016021]
P87269	146	15,602			
Q8TGP5	62	6,861			
P87261	201	21,658			
A0A023PXB9	121	13,391			integral component of membrane [GO:0016021]
A0A023PYF4	145	16,018			
P40001	126	14,022			
P40000	116	13,523			
P39991	1188	136,069			integral component of membrane [GO:0016021]
Q07950	538	62,447	cell wall mannoprotein biosynthetic process [GO:0000032]; lipid catabolic process [GO:0016042]; sterol metabolic process [GO:0016125]	sterol esterase activity [GO:0004771]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P40057	128	14,313			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P35723	206	23,459	ER to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; protein localization to endoplasmic reticulum exit site [GO:0070973]		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]
P40082	130	15,421			
P0CX88	111	12,860			
P39563	99	11,139			integral component of membrane [GO:0016021]
Q2V2Q3	67	7,718			
Q3E762	66	7,615			
P34224	193	22,278			integral component of membrane [GO:0016021]
P38173	110	12,079			integral component of membrane [GO:0016021]
P38161	101	11,662			
P38216	128	14,617	developmental process involved in reproduction [GO:0003006]		cellular bud membrane [GO:0033101]; mating projection membrane [GO:0070250]; plasma membrane [GO:0005886]
P38235	358	40,296	L-ascorbic acid biosynthetic process [GO:0019853]	calcium ion binding [GO:0005509]; gluconolactonase activity [GO:0004341]	extracellular region [GO:0005576]
Q8TGQ1	68	7,510			
Q8J0M4	134	15,588			
P25563	115	13,531			
P25600	308	34,507	transposition, RNA-mediated [GO:0032197]	DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]	retrotransposon nucleocapsid [GO:0000943]
O13515	117	13,264			
O13511	128	12,919			integral component of membrane [GO:0016021]
Q8TGK6	75	8,759			
P0CX57	440	49,072	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
O13527	1196	136,732	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
Q8TGR8	324	35,789			
P39703	215	23,740			
Q3E794	53	6,143			
Q6B113	34	4,053			
Q8TGK5	160	18,616			integral component of membrane [GO:0016021]
P38294	104	11,457			
Q8TGK4	73	8,407			
P38357	123	14,420			integral component of membrane [GO:0016021]
P38331	238	27,577			
Q3E820	49	6,255			integral component of membrane [GO:0016021]
P38190	124	13,194			integral component of membrane [GO:0016021]
P38214	139	16,067			
P38223	100	11,485			
P38315	674	77,741	cellular response to oxidative stress [GO:0034599]		cytoplasm [GO:0005737]
P25562	171	19,573			
P25572	119	13,360			
P37264	122	14,351			integral component of membrane [GO:0016021]
P25349	247	26,350	oxidation-reduction process [GO:0055114]	electron carrier activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]	cytoplasm [GO:0005737]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]
P25652	171	19,825			
P25606	316	35,257			
