Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
Q12325	SUL2_YEAST	Sulfate permease 2 (High-affinity sulfate transporter 2)	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	anion:anion antiporter activity [GO:0015301]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride channel activity [GO:0005254]; oxalate transmembrane transporter activity [GO:0019531]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]	bicarbonate transport [GO:0015701]; chloride transmembrane transport [GO:1902476]; regulation of intracellular pH [GO:0051453]; regulation of membrane potential [GO:0042391]; sulfate transport [GO:0008272]	893	99,651
P46676	SUM1_YEAST	Suppressor of mar1-1 protein (SUM1-1 protein)	nucleus [GO:0005634]	DNA replication origin binding [GO:0003688]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001078]	chromatin silencing at silent mating-type cassette [GO:0030466]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription from RNA polymerase II promoter during mitosis [GO:0007070]; positive regulation of DNA-dependent DNA replication initiation [GO:0032298]; sporulation resulting in formation of a cellular spore [GO:0030435]; transcription, DNA-templated [GO:0006351]	1062	118,201
Q12254	SVS1_YEAST	Protein SVS1	fungal-type cell wall [GO:0009277]		cellular response to vanadate(3-) [GO:1902439]	260	27,611
Q06707	SWC7_YEAST	SWR1-complex protein 7	Swr1 complex [GO:0000812]		chromatin modification [GO:0016569]; chromatin remodeling [GO:0006338]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	132	15,121
P38123	SWD3_YEAST	COMPASS component SWD3 (Complex proteins associated with SET1 protein SWD3) (Set1C component SWD3)	chromosome, telomeric region [GO:0000781]; Set1C/COMPASS complex [GO:0048188]		chromatin silencing at telomere [GO:0006348]; histone H3-K4 methylation [GO:0051568]; regulation of meiotic DNA double-strand break formation [GO:1903341]; telomere maintenance [GO:0000723]	315	34,754
P04802	SYDC_YEAST	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]	aspartyl-tRNA aminoacylation [GO:0006422]	557	63,516
Q03144	SNO1_YEAST	Pyridoxal 5'-phosphate synthase subunit SNO1 (EC 4.3.3.6) (PDX2 homolog 1) (Pdx2.1) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	cytosol [GO:0005829]; glutaminase complex [GO:1903600]	glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	glutamine metabolic process [GO:0006541]; negative regulation of apoptotic process [GO:0043066]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	224	24,907
P32568	SNQ2_YEAST	Protein SNQ2	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; xenobiotic-transporting ATPase activity [GO:0008559]	cellular cation homeostasis [GO:0030003]; cellular response to drug [GO:0035690]; drug export [GO:0046618]; response to drug [GO:0042493]; sterol import [GO:0035376]	1501	168,767
P53824	SNZ2_YEAST	Probable pyridoxal 5'-phosphate synthase subunit SNZ2 (PLP synthase subunit SNZ2) (EC 4.3.3.6) (PDX1 homolog 2) (Pdx1.2)		GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	298	32,033
P00445	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]	age-dependent response to reactive oxygen species involved in chronological cell aging [GO:0001320]; cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; protein stabilization [GO:0050821]; superoxide metabolic process [GO:0006801]	154	15,855
P53438	SOK2_YEAST	Protein SOK2	cytosol [GO:0005829]; nucleus [GO:0005634]	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; pseudohyphal growth [GO:0007124]; transcription, DNA-templated [GO:0006351]	785	85,643
P37262	SOL2_YEAST	6-phosphogluconolactonase-like protein 2 (Suppressor of LOS1)	cytosol [GO:0005829]		carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]; tRNA export from nucleus [GO:0006409]	315	34,501
P38163	SRO77_YEAST	Lethal(2) giant larvae protein homolog SRO77 (Sodium protection protein 2) (Suppressor of RHO3 protein 77)	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; syntaxin binding [GO:0019905]	establishment of cell polarity [GO:0030010]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; regulation of exocytosis [GO:0017157]; regulation of protein secretion [GO:0050708]	1010	111,623
Q12038	SRO7_YEAST	Lethal(2) giant larvae protein homolog SRO7 (Polarity protein SRO7) (Sodium protection protein 1) (Suppressor of RHO3 protein 7)	cytosol [GO:0005829]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]	establishment of cell polarity [GO:0030010]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; regulation of exocytosis [GO:0017157]; regulation of protein secretion [GO:0050708]; small GTPase mediated signal transduction [GO:0007264]	1033	114,513
P36007	SRY1_YEAST	Threo-3-hydroxyaspartate ammonia-lyase (EC 4.3.1.16) (L-threo-3-hydroxyaspartate dehydratase)	cytoplasm [GO:0005737]	D-serine ammonia-lyase activity [GO:0008721]; L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threo-3-hydroxyaspartate ammonia-lyase activity [GO:0030848]	cellular amino acid metabolic process [GO:0006520]; cellular modified amino acid catabolic process [GO:0042219]	326	34,899
P39073	SSN3_YEAST	Meiotic mRNA stability protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B SRB10)	mediator complex [GO:0016592]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; RNA polymerase II carboxy-terminal domain kinase activity [GO:0008353]	meiotic cell cycle [GO:0051321]; negative regulation of filamentous growth [GO:0060258]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]; transcription, DNA-templated [GO:0006351]	555	62,847
P38871	SSP1_YEAST	Sporulation-specific protein 1	prospore membrane [GO:0005628]; prospore membrane leading edge [GO:0070056]		ascospore-type prospore membrane assembly [GO:0032120]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; protein complex assembly [GO:0006461]	571	65,815
P41930	SSU1_YEAST	Sulfite efflux pump SSU1 (Sulfite sensitivity protein SSU1)	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	sulfite transmembrane transporter activity [GO:0000319]	sulfite transport [GO:0000316]	458	52,545
Q02794	STD1_YEAST	Protein STD1 (Glucose repression modulator MSN3) (Suppressor of Tbp deletion protein 1) (Suppressor of fluoride sensitivity 3)	nucleus [GO:0005634]; plasma membrane [GO:0005886]	protein kinase activator activity [GO:0030295]	glucose metabolic process [GO:0006006]; nicotinamide riboside biosynthetic process [GO:0071590]; nicotinic acid riboside biosynthetic process [GO:0071592]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to salt stress [GO:0009651]; signal transduction [GO:0007165]; transcription, DNA-templated [GO:0006351]	444	50,261
P13574	STE12_YEAST	Protein STE12	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Ste12p-Dig1p-Dig2p complex [GO:1990526]; Tec1p-Ste12p-Dig1p complex [GO:1990527]	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	conjugation with cellular fusion [GO:0000747]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:0046020]; positive regulation of transcription from RNA polymerase II promoter by pheromones [GO:0007329]; pseudohyphal growth [GO:0007124]; transcription, DNA-templated [GO:0006351]	688	77,867
P06783	STE3_YEAST	Pheromone a factor receptor	integral component of plasma membrane [GO:0005887]	mating-type a-factor pheromone receptor activity [GO:0004933]	cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]	470	53,708
P01098	STF1_YEAST	ATPase-stabilizing factor 9 kDa, mitochondrial	mitochondrion [GO:0005739]	ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]	heme biosynthetic process [GO:0006783]; negative regulation of ATPase activity [GO:0032780]	86	10,062
P32597	STH1_YEAST	Nuclear protein STH1/NPS1 (EC 3.6.4.12) (ATP-dependent helicase STH1) (Chromatin structure-remodeling complex protein STH1) (SNF2 homolog)	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; RSC complex [GO:0016586]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; DNA translocase activity [GO:0015616]; helicase activity [GO:0004386]; lysine-acetylated histone binding [GO:0070577]	ATP-dependent chromatin remodeling [GO:0043044]; base-excision repair [GO:0006284]; chromatin modification [GO:0016569]; chromatin remodeling at centromere [GO:0031055]; chromosome segregation [GO:0007059]; cytoskeleton organization [GO:0007010]; double-strand break repair [GO:0006302]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic nuclear division [GO:0007126]; nucleosome disassembly [GO:0006337]; nucleosome positioning [GO:0016584]; regulation of transcription, DNA-templated [GO:0006355]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]	1359	156,743
P53312	SUCB_YEAST	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	mitochondrion [GO:0005739]	ATP binding [GO:0005524]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]	succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	427	46,901
P38992	SUR2_YEAST	Sphingolipid C4-hydroxylase SUR2 (EC 1.-.-.-) (Syringomycin response protein 2)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	iron ion binding [GO:0005506]; sphingolipid delta-4 desaturase activity [GO:0042284]; sphingosine hydroxylase activity [GO:0000170]	fatty acid biosynthetic process [GO:0006633]; sphingolipid biosynthetic process [GO:0030148]; sphingolipid metabolic process [GO:0006665]	349	40,734
P47821	SSN8_YEAST	RNA polymerase II holoenzyme cyclin-like subunit (Suppressor of RNA polymerase B 11)	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; mediator complex [GO:0016592]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901409]; positive regulation of transcription by galactose [GO:0000411]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010673]; transcription, DNA-templated [GO:0006351]	323	37,791
P31377	STX8_YEAST	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	endosome [GO:0005768]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	intracellular protein transport [GO:0006886]; transport [GO:0006810]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]	255	29,049
Q06524	SUE1_YEAST	Protein SUE1, mitochondrial	mitochondrial envelope [GO:0005740]		protein catabolic process [GO:0030163]	206	24,305
Q06677	SWA2_YEAST	Auxilin-like clathrin uncoating factor SWA2 (Bud site selection protein 24) (DnaJ-related protein SWA2) (J protein SWA2) (Synthetic lethal with ARF1 protein 2)	endoplasmic reticulum membrane [GO:0005789]; vesicle [GO:0031982]	clathrin binding [GO:0030276]; ubiquitin binding [GO:0043130]	clathrin coat disassembly [GO:0072318]; endoplasmic reticulum inheritance [GO:0048309]; positive regulation of ATPase activity [GO:0032781]; receptor-mediated endocytosis [GO:0006898]	668	75,02
P53201	SWC4_YEAST	SWR1-complex protein 4 (ESA1-associated factor 2)	histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]	DNA binding [GO:0003677]; transcription corepressor activity [GO:0003714]	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; DNA repair [GO:0006281]; histone exchange [GO:0043486]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	476	55,213
P39706	SWD1_YEAST	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)	chromosome, telomeric region [GO:0000781]; Set1C/COMPASS complex [GO:0048188]		chromatin silencing at telomere [GO:0006348]; histone H3-K4 methylation [GO:0051568]; regulation of transcription, DNA-templated [GO:0006355]; telomere maintenance [GO:0000723]	426	48,655
P32944	SWE1_YEAST	Mitosis inhibitor protein kinase SWE1 (EC 2.7.11.1) (Wee1 homolog)	cellular bud neck [GO:0005935]; nucleus [GO:0005634]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; mitotic nuclear division [GO:0007067]; morphogenesis checkpoint [GO:0044879]; negative regulation of spindle pole body separation [GO:0010697]; positive regulation of sphingolipid biosynthetic process [GO:0090154]; protein phosphorylation [GO:0006468]; re-entry into mitotic cell cycle [GO:0000320]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of meiotic nuclear division [GO:0040020]	819	92,468
P09547	SWI1_YEAST	SWI/SNF chromatin-remodeling complex subunit SWI1 (Regulatory protein GAM3) (SWI/SNF complex subunit SWI1) (Transcription regulatory protein ADR6) (Transcription regulatory protein SWI1)	nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II activating transcription factor binding [GO:0001102]	ATP-dependent chromatin remodeling [GO:0043044]; carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; cellular alcohol catabolic process [GO:0044109]; DNA-dependent DNA replication [GO:0006261]; positive regulation of mating type switching [GO:0031496]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to amino acid starvation [GO:0061412]; sucrose catabolic process [GO:0005987]; transcription, DNA-templated [GO:0006351]	1314	147,938
P25302	SWI4_YEAST	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	MBF transcription complex [GO:0030907]; nuclear chromatin [GO:0000790]; SBF transcription complex [GO:0033309]	DNA binding [GO:0003677]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]	1093	123,806
Q02521	SPP2_YEAST	Pre-mRNA-splicing factor SPP2 (Spliceosome maturation protein SPP2) (Suppressor of PRP protein 2)	cytoplasm [GO:0005737]; spliceosomal complex [GO:0005681]	ATPase activator activity [GO:0001671]; nucleic acid binding [GO:0003676]	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of ATPase activity [GO:0032781]	185	20,648
P25380	SPS22_YEAST	Sporulation-specific protein 22	anchored component of membrane [GO:0031225]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]		ascospore wall assembly [GO:0030476]; fungal-type cell wall organization [GO:0031505]	463	52,008
P08459	SPS2_YEAST	Sporulation-specific protein 2	anchored component of membrane [GO:0031225]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]		ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]	502	55,939
P09937	SPS4_YEAST	Sporulation-specific protein 4			ascospore formation [GO:0030437]	338	38,591
P06843	SPT2_YEAST	Protein SPT2 (Negative regulator of Ty transcription)	cytosol [GO:0005829]; nucleus [GO:0005634]	DNA binding [GO:0003677]; DNA secondary structure binding [GO:0000217]; histone binding [GO:0042393]	chromatin organization [GO:0006325]; histone exchange [GO:0043486]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; regulation of chromatin assembly [GO:0010847]; regulation of transcription, DNA-templated [GO:0006355]; RNA polyadenylation [GO:0043631]; transcription elongation from RNA polymerase II promoter [GO:0006368]	333	38,551
P36077	SRX1_YEAST	Sulfiredoxin (EC 1.8.98.2) (Sulphiredoxin)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; sulfiredoxin activity [GO:0032542]	cellular response to oxidative stress [GO:0034599]	127	13,854
P38353	SSH1_YEAST	Sec sixty-one protein homolog (Ssh1 complex subunit SSH1) (Ssh1 complex subunit alpha)	integral component of membrane [GO:0016021]; Ssh1 translocon complex [GO:0071261]	protein transmembrane transporter activity [GO:0008320]; signal sequence binding [GO:0005048]	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	490	53,312
P32343	SSH4_YEAST	Protein SSH4 (Multicopy suppressor of leflunomide protein 4) (Suppressor of SHR3 null mutation protein 4)	endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; integral component of membrane [GO:0016021]		protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; vesicle-mediated transport [GO:0016192]	579	65,061
P32867	SSO1_YEAST	Protein SSO1	endomembrane system [GO:0012505]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]; SNARE complex [GO:0031201]	phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	ascospore formation [GO:0030437]; ascospore-type prospore assembly [GO:0031321]; intracellular protein transport [GO:0006886]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]	290	33,106
P33894	STE13_YEAST	Dipeptidyl aminopeptidase A (DPAP A) (EC 3.4.14.-) (YSCIV)	integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]; vacuolar membrane [GO:0005774]	aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236]	peptide pheromone maturation [GO:0007323]; response to pheromone [GO:0019236]	931	107,2
Q08553	SYC1_YEAST	Protein SYC1	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]		mRNA processing [GO:0006397]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]	188	20,866
P32911	SUI1_YEAST	Eukaryotic translation initiation factor eIF-1 (Protein translation factor SUI1)	eukaryotic 43S preinitiation complex [GO:0016282]; multi-eIF complex [GO:0043614]	ribosomal small subunit binding [GO:0043024]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	formation of translation preinitiation complex [GO:0001731]; maintenance of translational fidelity [GO:1990145]; regulation of translation [GO:0006417]	108	12,312
P38869	SVP26_YEAST	Protein SVP26 (Sed5 compartment vesicle protein of 26 kDa)	ER to Golgi transport vesicle [GO:0030134]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]	COPII adaptor activity [GO:0097020]	ER to Golgi vesicle-mediated transport [GO:0006888]; fungal-type cell wall organization [GO:0031505]; protein glycosylation [GO:0006486]; protein retention in Golgi apparatus [GO:0045053]; protein transport [GO:0015031]	228	26,284
P08153	SWI5_YEAST	Transcriptional factor SWI5	cytoplasm [GO:0005737]; nucleus [GO:0005634]	mediator complex binding [GO:0036033]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region DNA binding [GO:0001012]; RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding [GO:0001133]	positive regulation of mating type switching [GO:0031496]; positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter [GO:0007074]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; transcription, DNA-templated [GO:0006351]	709	79,775
Q05471	SWR1_YEAST	Helicase SWR1 (EC 3.6.4.12) (Swi2/Snf2-related 1)	cytosol [GO:0005829]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; structural molecule activity [GO:0005198]	chromatin modification [GO:0016569]; chromatin remodeling [GO:0006338]; histone exchange [GO:0043486]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	1514	174,53
Q02875	SYH1_YEAST	SMY2 homolog 2	cytoplasm [GO:0005737]; extrinsic component of membrane [GO:0019898]; mitochondrion [GO:0005739]		nuclear pore distribution [GO:0031081]	849	94,357
P15180	SYKC_YEAST	Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; nucleic acid binding [GO:0003676]	lysyl-tRNA aminoacylation [GO:0006430]	591	67,959
Q06411	SP382_YEAST	Pre-mRNA-splicing factor SPP382 (CLF1 complex factor 8) (Nineteen complex-related protein 1) (NTC-related protein 1) (Suppressor of PRP38 protein 2)	cytoplasm [GO:0005737]; nuclear chromosome, telomeric region [GO:0000784]; nucleolus [GO:0005730]; spliceosomal complex [GO:0005681]; U2-type post-mRNA release spliceosomal complex [GO:0071008]	nucleic acid binding [GO:0003676]	generation of catalytic spliceosome for first transesterification step [GO:0000349]; negative regulation of DNA ligase activity [GO:1904876]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of protein binding [GO:0032091]; negative regulation of protein complex assembly [GO:0031333]; spliceosomal complex disassembly [GO:0000390]	708	83,049
P40014	SPC25_YEAST	Kinetochore protein SPC25	condensed nuclear chromosome, centromeric region [GO:0000780]; condensed nuclear chromosome kinetochore [GO:0000778]; Ndc80 complex [GO:0031262]	structural constituent of cytoskeleton [GO:0005200]	cell division [GO:0051301]; chromosome segregation [GO:0007059]; microtubule nucleation [GO:0007020]; mitotic nuclear division [GO:0007067]	221	25,244
Q04969	SPC2_YEAST	Signal peptidase complex subunit SPC2 (Microsomal signal peptidase subunit 2)	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]	peptidase activity [GO:0008233]	protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]	178	20,802
P17122	SPO16_YEAST	Sporulation-specific protein 16			ascospore formation [GO:0030437]; positive regulation of protein sumoylation [GO:0033235]; regulation of reciprocal meiotic recombination [GO:0010520]; synaptonemal complex assembly [GO:0007130]	198	23,131
P40511	SPO22_YEAST	Sporulation-specific protein 22			meiotic cell cycle [GO:0051321]; positive regulation of protein sumoylation [GO:0033235]; regulation of synaptonemal complex assembly [GO:0090173]; sporulation resulting in formation of a cellular spore [GO:0030435]	975	112,434
Q07798	SPO75_YEAST	Sporulation-specific protein 75	integral component of membrane [GO:0016021]		ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; ion transport [GO:0006811]	868	102,17
P35177	SPT7_YEAST	Transcriptional activator SPT7	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]	structural molecule activity [GO:0005198]	chromatin organization [GO:0006325]; conjugation with cellular fusion [GO:0000747]; histone acetylation [GO:0016573]; protein complex assembly [GO:0006461]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	1332	152,617
P38931	SSN2_YEAST	Mediator of RNA polymerase II transcription subunit 13 (Mediator complex subunit 13) (Protein SCA1) (Suppressor of RNA polymerase B SSN2)	mediator complex [GO:0016592]	RNA polymerase II transcription coactivator activity [GO:0001105]; transcription factor activity, RNA polymerase II transcription factor recruiting [GO:0001135]	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]	1420	160,001
P32584	STE14_YEAST	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity [GO:0004671]	C-terminal protein methylation [GO:0006481]; peptide pheromone maturation [GO:0007323]; response to pheromone [GO:0019236]	239	27,888
Q03497	STE20_YEAST	Serine/threonine-protein kinase STE20 (EC 2.7.11.1)	cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; nucleus [GO:0005634]	ATP binding [GO:0005524]; histone kinase activity (H2B-S14 specific) [GO:0044025]; MAP kinase kinase kinase kinase activity [GO:0008349]	activation of MAPKKK activity [GO:0000185]; bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; cellular response to heat [GO:0034605]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of gene expression [GO:0010629]; negative regulation of sterol import by negative regulation of transcription from RNA polymerase II promoter [GO:1990872]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of apoptotic process [GO:0043065]; protein phosphorylation [GO:0006468]; pseudohyphal growth [GO:0007124]; regulation of exit from mitosis [GO:0007096]; signal transduction involved in filamentous growth [GO:0001402]; sterol import [GO:0035376]; stress granule assembly [GO:0034063]; vacuole inheritance [GO:0000011]	939	102,362
